Summary: {Weight} {token}: {words[0:10]}
0.0384615    1 Shanghai       : 滬
0.0134973    3 bat            : 鄙蝙蝠, 神楽蝙蝠, 蝙蝠
0.0133980    5 reed           : 芦笛, 芦荻, 芦, 葦戸, 葭戸
0.0132823    2 illiberality   : 褊狭, 偏狭
0.0131812   23 fan            : 扇屋, 団扇海老, 煽る, 煽ぐ, 張り扇, 張扇, 扇状, 軍扇, 渋団扇, 舞扇, ...
0.0130978   48 door           : 外扉, 中扉, 前扉, 閉扉, 扉口, 枢戸, 簾戸, 鉄扉, 開扉, 唐戸, ...
0.0127706    2 intolerance    : 褊狭, 偏狭
0.0127706    2 narrowness     : 褊狭, 偏狭
0.0111752    2 fluttering     : 翩々, 翩翻
0.0091360    9 folding        : 扇屋, 桧扇, 檜扇, 銀扇, 金扇, 折り戸, 折戸, 扇, 扇子
0.0086905   45 radical        : 行人偏, 王偏, ノ木偏, 禾偏, 食偏, 示偏, 目偏, 火偏, 日偏, 月偏, ...
0.0086783    1 rampancy       : 跋扈
0.0086783    1 prevalence     : 跋扈
0.0085136    1 domination     : 跋扈
0.0076720    3 flat           : 扁形, 扁壺, 扁たい
0.0075501   31 shoulder       : 肩部, 顧みる, 顧る, 地肩, 肩山, 肩ひも, 肩紐, 肩章, 左肩, 肩当, ...
0.0072539    3 shop           : 扇屋, 印房, 茶房
0.0072246    4 government     : 公所, 官房, 侍所, 政所
0.0071750    3 imperial       : 公所, 女房, 御所
0.0070855    1 frivolous      : 翩々
0.0070728   12 employment     : 雇い止め, 雇止め, 常雇い, 雇入, 雇入れ, 雇い入れ, 雇, 雇い, 日雇, 日雇い, ...
0.0070067    5 land           : 公所, 所務, 仏所, 納所, 地所
0.0069183   43 one            : 扈従, 一房, 騙し騙し, 一遍, 初篇, 房宿, 顧みる, 顧る, 地肩, 偏諱, ...
0.0067810    1 restless       : 翩々
0.0066743    2 sadness        : 悲涙, 涙雨
0.0066665    7 title          : 中扉, 前扉, 雇われ, 騙る, 扉, 肩書, 肩書き
0.0060966    1 careless       : 翩々
0.0058291    2 termination    : 雇い止め, 雇止め
0.0056401    1 Ericaceae      : 捩木
0.0052609    1 attendance     : 扈従
0.0051178    1 superior       : 扈従
0.0046181   42 left           : 王偏, 食偏, 左肩, 左房, ノ木偏, 禾偏, 山偏, 弓偏, 示偏, 虫偏, ...
0.0045085   13 volume         : 初篇, 上篇, 前篇, 中篇, 初編, 上編, 本篇, 篇, 前編, 中編, ...
0.0044245    1 linen          : 綟子
0.0044186    2 periorbital    : 涙袋, 涙堂
0.0044165    3 shape          : 扁形, 扇状, 扇形
0.0044103   11 hearth         : 炉床, 開炉, 地炉, 炉塞ぎ, 炉開き, 囲炉裏, 囲炉裡, 暖炉, 煖炉, 炉端, ...
0.0043958    3 universal      : 遍昭, 遍照, 普遍
0.0043893    1 vesper         : 鄙蝙蝠
0.0043893    1 Vespertilionidae: 鄙蝙蝠
0.0043893    1 Vespertilio    : 鄙蝙蝠
0.0042484    2 puffiness      : 涙袋, 涙堂
0.0041538    1 waving         : 翩翻
0.0041423    1 woven          : 綟子
0.0041408    2 mosquito       : 綟子, 網戸
0.0039689    7 fireplace      : 炉火, 地炉, 囲炉裏, 囲炉裡, 暖炉, 煖炉, 炉
0.0039396   17 office         : 公所, 当所, 納所, 所外, 退所, 侍所, 閉所, 本所, 詰め所, 詰所, ...
0.0038975    1 silver         : 芦荻
0.0038655    9 book           : 前扉, 騙し騙し, 正篇, 後篇, 詩篇, 正編, 後編, 詩編, 全編
0.0038398    4 common         : 鄙蝙蝠, 芦, 落し所, 落とし所
0.0038363    9 family         : 捩木, 遍羅, 編製, 全戸, 戸籍, 紋所, 余所, 大所, 所帯
0.0038179    1 hemp           : 綟子
0.0037570    3 court          : 公所, 女房, 御息所
0.0037385    1 grass          : 芦荻
0.0037328    7 first          : 前篇, 上篇, 開炉, 初篇, 前編, 上編, 初編
0.0036928    1 yarn           : 綟子
0.0036009   25 part           : 後篇, 中篇, 正篇, 前篇, 肩山, 後編, 本篇, 中編, 正編, 前編, ...
0.0035737    1 coarse         : 綟子
0.0034764    8 furnace        : 火炉, 廃炉, 電炉, 炉壁, 平炉, 風炉, 高炉, 炉
0.0034741    7 clothes        : 綟子, 肩あげ, 肩上げ, 肩揚, 肩揚げ, 衣偏, 余所行き
0.0034710    1 stoneware      : 扁壺
0.0034615    1 flute          : 芦笛
0.0034575    4 trick          : 騙し騙し, 騙くらかす, 騙かす, 騙す
0.0034261    2 thread         : 綟子, 糸偏
0.0033775    8 employee       : 常雇い, 雇い人, 雇人, 雇, 雇員, 雇い, 解雇, 所員
0.0033497    5 plant          : 捩木, 房室, 切り戻す, 所外, 所内
0.0032904   20 someone        : 雇われ, 騙しとる, 騙し取る, 捩じ伏せる, 捩伏せる, 捩じ倒す, 肩たたき, 肩叩き, 捩じ上げる, 肩車, ...
0.0032332    1 flask          : 扁壺
0.0032162   11 story          : 本篇, 中篇, 掌篇, 小篇, 短篇, 本編, 中編, 掌編, 小編, 短編, ...
0.0031976    1 pipe           : 芦笛
0.0031791    1 summer         : 綟子
0.0031695    1 flag           : 翩翻
0.0031223    2 illumination   : 遍昭, 遍照
0.0031144    1 ingle          : 炉火
0.0030987    9 short          : 掌篇, 小篇, 中篇, 掌編, 小編, 短篇, 中編, 肩衣, 短編
0.0030584    2 cloth          : 綟子, 巾偏
0.0029440    3 unfair         : 雇い止め, 雇止め, 偏在
0.0029427    5 used           : 綟子, 転炉, 張り扇, 張扇, 戸板
0.0029176    1 Asian          : 鄙蝙蝠
0.0028619    1 species        : 捩木
0.0027790    2 look           : 顧みる, 顧る
0.0027638    5 corner         : 買い煽る, 白房, 青房, 黒房, 赤房
0.0027067    3 eye            : 涙袋, 涙堂, 目偏
0.0026996    5 hung           : 扁額, 白房, 青房, 黒房, 赤房
0.0026202    1 divisional     : 中扉
0.0025973    2 pilgrimage     : 遍路, 遍歴
0.0025879    6 cheat          : 騙くらかす, 騙かす, 騙る, 騙す, 騙しとる, 騙し取る
0.0025812    1 Phragmites     : 芦
0.0025421    1 circular       : 扁壺
